Name,Yelp,Google,Overall,Menu_Item,Cost
Lourdes,4,4.7,3.425,Carnitas,7.35
Lucha Libre North Park,3.5,4.3,3.264285714,California - Chicken,7.5
Lucha Libre North Park,3.5,4.3,3.264285714,California - Pork Adobada,7.5
Lucha Libre North Park,3.5,4.3,3.264285714,California - Steak,7.5
Lucha Libre North Park,3.5,4.3,3.264285714,Holy Moly,7.5
Lucha Libre North Park,3.5,4.3,3.264285714,Nutty,7.5
Lucha Libre North Park,3.5,4.3,3.264285714,Surf & Turf,8.25
Lucha Libre North Park,3.5,4.3,3.264285714,Surfin California,8.25
Lucha Libre North Park,3.5,4.3,3.264285714,Veg Out,6.95
Lucha Libre North Park,3.5,4.3,3.264285714,Veggie,5.25
Lupe's Taco Shop,3.5,4.5,3.541666667,California,7.49
Lupe's Taco Shop,3.5,4.5,3.541666667,Hot Cheetos,7.29
Lupe's Taco Shop,3.5,4.5,3.541666667,Spicy A La Diabla,7.49
Lupe's Taco Shop,3.5,4.5,3.541666667,Surfin California,7.89
Lupe's Taco Shop,3.5,4.5,3.541666667,Tgunz,10
Matador Mexican Food,4.5,4,3,Carne Asada,6.6
Matador Mexican Food,4.5,4,3,Carnitas,6.6
Mikes Taco Club,4.5,4.9,4.4,California,8.59
Netos Mexican Food,4.5,4.1,3.1,California,5.99
Netos Mexican Food,4.5,4.1,3.1,Carne Adobada,5.5
Nico's Taco Shop,3,2.9,2.8,California,7.19
Nico's Taco Shop,3,2.9,2.8,Carnitas,6.99
Ortiz's Taco Shop #2,4,4.2,3.6525,California,6.39
Ortiz's Taco Shop #2,4,4.2,3.6525,California - Chicken,6.39
Oscar's Mexican food,3.5,3.3,3.25,California,5.45
Oscar's Mexican food,3.5,3.3,3.25,Carne Asada,5.25
Oscar's Mexican food,3.5,3.3,3.25,Carnitas,4.85
Papa Chito's Mexican Food,2.5,3.3,2.975,California,6.25
Pokirrito,4,4.3,4.1,Mauna Lani,11.95
Pokirrito,4,4.3,4.1,Pokirrito Classic,11.95
Pollos Maria,4,3.8,3.675,California,6.59
Pollos Maria,4,3.8,3.675,Carne Asada,6.49
Pollos Maria,4,3.8,3.675,Combo Chicken,6.99
Raul's Mexican food,4,4.2,1.5,Chile Verde Pork,5
Raul's Mexican food,4,4.2,1.5,Carne Asada,5
Rigoberto's Taco Shop,4,4.4,3.927083333,Adobada,6.6
Rigoberto's Taco Shop,4,4.4,3.927083333,Al Pastor,6.6
Rigoberto's Taco Shop,4,4.4,3.927083333,Bacon Breakfast,6.25
Rigoberto's Taco Shop,4,4.4,3.927083333,Bacon Breakfast,6.3
Rigoberto's Taco Shop,4,4.4,3.927083333,California,6.85
Rigoberto's Taco Shop,4,4.4,3.927083333,Campeon,7.65
Rigoberto's Taco Shop,4,4.4,3.927083333,Carne Asada,6.6
Rigoberto's Taco Shop,4,4.4,3.927083333,Carnitas,6.6
Rigoberto's Taco Shop,4,4.4,3.927083333,Chile Relleno,6.6
Rigoberto's Taco Shop,4,4.4,3.927083333,El Rusio,6.65
Rigoberto's Taco Shop,4,4.4,3.927083333,Fish,6
Rigoberto's Taco Shop,4,4.4,3.927083333,Surf & Turf,7.45
Rigoberto's Taco Shop La Jolla,2.5,4,3.6,California,6.85
Roberto's Taco Shop Clairemont,4,4,3.4,California,5.79
Roberto's Taco Shop Clairemont,4,4,3.4,California + Guac + Sour Cream,7.29
Roberto's Taco Shop Clairemont,4,4,3.4,Carne Asada,5.69
Roberto's Taco Shop Hillcrest,4,4.2,3.48,Asada,7
Roberto's Taco Shop Hillcrest,4,4.2,3.48,California,7
Roberto's Taco Shop Hillcrest,4,4.2,3.48,California Surf And Turf,9
Roberto's Taco Shop Hillcrest,4,4.2,3.48,Golden State,25
Roberto's Very Mexican Food,3.5,3.9,2.1,Carnitas,5.4
Roberto's Very Mexican Food,3.5,3.9,2.1,Chicken Asada,6.5
Rubios UCSD,3.5,3.4,3.3,Grilled Fish Salmon,8.99
Rubios UCSD,3.5,3.4,3.3,Tilapia One,7.99
Rudy's Taco Shop,4,4.3,2.9,Carnitas,6.6
Rudy's Taco Shop,4,4.3,2.9,Chicken,6.6
Senor Grubby's,4,4.1,1.65,California,9
Senor Grubby's,4,4.1,1.65,Pastor,9
Senor Panchos,4,4.2,3.45,California,6.25
Senor Panchos,4,4.2,3.45,Pollo Asado,6.25
Sotos Mexican Food,4.5,4.6,3.35,California,6.75
Sotos Mexican Food,4.5,4.6,3.35,Pastor,5.99
Taco Stand,4.5,4.4,4.225,Al Pastor,6.99
Taco Stand,4.5,4.4,4.225,California,7.49
Taco Stand,4.5,4.4,4.225,Surf And Turf,8.49
Taco Stand Encinitas,4,4.4,4.3,California,7.89
Taco Surf PB,4,4.6,4.066666667,California,7.14
Taco Surf PB,4,4.6,4.066666667,Carne Asada,6.02
Taco Villa,3.5,3.5,3.447368421,California,6.99
Taco Villa,3.5,3.5,3.447368421,Al Pastor,6.99
Taco Villa,3.5,3.5,3.487368421,Bean & Cheeez,3.99
Taco Villa,3.5,3.5,3.447368421,Breakfast,4.99
Taco Villa,3.5,3.5,3.447368421,California,6.99
Taco Villa,3.5,3.5,3.447368421,Carne Asada,6.99
Taco Villa,3.5,3.5,3.447368421,Carnitas,5.99
Taco Villa,3.5,3.5,3.447368421,Chicken,4.99
Taco Villa,3.5,3.5,3.447368421,Chicken And Rice,4.95
Taco Villa,3.5,3.5,3.447368421,Pollo Asado,5.99
Taco Villa,3.5,3.5,3.447368421,Shrimp With Guac,7.49
Taco Villa,3.5,3.5,3.447368421,Tejano,6.99
Tacos La Bala,4.5,4.1,2.45,Barbacoa,4.99
Tacos La Bala,4.5,4.1,2.45,Pastor,4.99
Tacos por favor,4,4.1,3.666666667,Al Pastor,6.85
Tacos por favor,4,4.1,3.666666667,Carne Asada,6.85
Tony's Fresh Mexican Food,3,4.1,2.9125,California,6.25
Tony's Fresh Mexican Food,3,4.1,2.9125,Chile Verde Pork,6.95
Tony's Fresh Mexican Food,3,4.1,2.9125,Battered Fish,6.99
Valentines Mexican Food,4,4,4.366666667,California,7.9
Valentines Mexican Food,4,4,4.366666667,California Chipotle,7.9
Valentines Mexican Food,4,4,4.366666667,Carne Asada,6.75
Valentines Mexican Food,4,4,4.366666667,Pork California,7.9
Vallarta express,3.5,4,3.5,California,6.95
Vallarta express,3.5,4,3.5,Carne Asada,6.5
Vallarta express,3.5,4,3.5,Fish,6.5
Vallarta express,3.5,4,3.5,Mahi,7.3
Vallarta express,3.5,4,3.5,Philly,6.95
Vallarta express,3.5,4,3.5,Quesa,6.95
Vallarta express,3.5,4,3.5,Quesaburro,6.95
Vallarta express,3.5,4,3.5,Surf And Turf,7.65
